sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60
sub-kLat009,task-sline,run-4,0.45,NA,11.1711,14.9734,1.2709,2.5821,4.3393,2.7436,0.9292,0.3068,0.2246,0.4756,2.1802,5.4425,3.1309,0.6334,0.5837,1.1104,0.4805,0.2872,3.2484,2.6427,0.2479,0.1958,0.0955,0.2331,5.215,13.802,7.8914,1.1115,0.2584,0.3742,0.6342,0.1777,0.5914,0.0922,0.1566,0.1481,0.1675,0.2345,0.4825,2.2598,1.0017,0.5842,1.5862,1.8528,0.8307,0.5347,1.1902,3.7368,1.4398,1.0823,0.4978,0.0643,0.0485,0.575,0.1236,0.1704,1.0171,2.8909,1.8209
sub-kLat020,task-sline,run-1,0.45,NA,1.7796,6.791,12.7617,5.6731,0.9596,0.4296,0.1946,0.3259,0.3112,0.13,0.155,0.0256,0.1102,0.2326,0.1662,0.3055,2.4165,2.2564,10.3472,10.2798,4.0405,3.6792,0.3375,0.6007,0.1614,0.1242,0.2037,0.2839,0.2886,1.1724,1.8417,0.5615,1.0296,2.5056,3.0347,1.8282,1.2968,0.1716,0.1297,0.1214,0.0804,0.2017,2.5028,4.274,19.6626,13.9917,3.6553,7.5695,12.3817,5.3324,0.7445,0.3079,0.7457,0.1226,0.0799,0.2781,0.0545,2.0254,8.6369
sub-kLat026,task-sline,run-3,0.45,NA,0.5189,0.7691,0.8073,0.7369,1.9723,0.9375,1.7175,1.7368,0.7477,0.7984,0.3936,0.4402,0.4594,0.3769,0.5074,1.7144,4.0024,1.2282,3.6234,2.3159,3.6069,1.4203,0.7232,0.4795,0.1542,0.252,0.3502,0.3838,2.8481,10.8008,18.3823,14.3768,2.683,2.7965,1.9461,0.7076,0.1007,0.1115,0.1062,0.3294,0.4636,0.8408,7.3352,4.9353,18.2244,12.934,3.8711,1.0288,1.1007,0.511,0.255,0.6276,0.2674,0.244,0.0956,0.2856,2.0694,6.7232,9.7481
sub-kLat034,task-sline,run-1,0.45,NA,0.5692,0.9101,0.7242,0.7219,0.7396,0.2036,3.289,6.5263,2.9593,0.5375,0.1997,0.546,0.7141,0.3731,3.9931,8.0624,4.3393,0.6619,0.643,0.1535,0.3998,0.2238,0.1653,0.1452,0.379,0.6588,0.1101,0.2019,0.1044,0.2451,0.2573,0.2305,0.5011,1.0597,0.8294,1.0652,1.7735,1.3832,4.3712,5.4859,1.9148,7.1798,3.4952,11.3552,5.7358,4.2528,3.5525,2.7785,4.745,1.6908,2.8232,0.7693,0.5487,0.4094,1.1478,0.9617,1.2046,2.31,3.4417
sub-kLat011,task-sline,run-4,0.5,NA,0.6959,1.5131,2.1493,1.1381,1.1434,3.2612,5.0613,1.6082,0.4438,0.2527,0.5158,0.4492,0.2513,0.2004,1.0965,2.2718,2.1535,1.6418,0.9456,0.8583,1.6404,1.1995,0.3368,0.7718,0.4744,0.2323,0.2574,0.5133,1.3981,4.8225,7.4421,2.4147,1.348,1.0232,0.431,0.8599,0.6973,0.5398,0.1989,0.1713,0.1643,0.2628,0.9544,1.4973,0.945,0.3813,1.0125,1.8772,1.8494,1.2753,1.8164,1.1491,0.8076,0.9015,1.3534,1.1712,1.813,1.2988,0.5873
sub-kLat017,task-sline,run-1,0.5,NA,0.465,0.9246,1.6084,1.9881,2.8114,1.2575,2.166,1.4368,0.5535,0.8672,0.2925,0.3979,0.9754,1.2201,1.5201,0.765,1.3205,4.4602,10.2108,6.1969,0.9517,0.5668,1.0057,0.9028,1.2585,0.5373,0.5638,0.318,1.3512,2.6664,1.7996,0.4445,0.1343,0.6606,1.1047,1.0041,0.9655,1.5872,2.5189,1.7985,1.3592,0.6599,0.7691,3.6512,10.8432,7.6789,2.3831,1.5143,0.7207,0.234,0.1342,0.4627,0.4407,0.7682,1.3984,1.1053,0.2491,0.8373,0.9017
sub-kLat017,task-sline,run-2,0.5,NA,3.7421,6.6331,5.8024,1.9295,1.6599,1.6639,2.233,1.1258,0.9716,0.8391,1.6925,1.9525,0.3608,0.4386,1.2174,1.5139,0.8388,1.0357,0.7667,1.706,1.1905,0.4841,0.2952,0.2699,0.1194,0.243,0.2271,0.4797,0.242,0.2008,0.4735,0.479,1.1058,2.7002,1.9334,0.5115,0.3049,0.1492,0.1902,0.1145,0.4256,0.69,1.1251,0.5128,0.3385,0.3092,2.3543,2.3673,1.2788,4.1661,3.5666,0.3853,0.4041,1.5793,5.4074,16.3033,11.5897,2.9892,5.1587
sub-kLat018,task-sline,run-2,0.55,NA,0.2775,1.8992,2.9821,1.226,5.8826,4.9705,4.1864,1.2963,0.5387,4.9096,4.9553,0.4809,0.6432,0.3573,1.1678,0.7716,1.1731,1.7866,10.7949,20.7557,10.099,1.0438,0.1957,0.1255,0.2486,0.4035,0.2221,0.9623,2.1528,3.2405,1.4862,0.9907,4.2346,3.1524,1.8222,1.0311,0.4096,0.3346,1.0852,1.5546,0.1942,0.631,11.2264,18.3321,4.8545,2.5771,0.2161,0.2163,0.332,0.8799,0.9404,0.3617,0.5298,0.8048,0.3424,1.8099,10.5049,10.4272,13.3207
sub-kLat038,task-sline,run-3,0.7166666666666667,NA,3.5258,4.7287,1.5481,2.6837,3.3294,6.6561,8.1274,3.0025,0.5305,1.8184,3.1589,5.595,3.3606,9.713,2.779,3.3552,0.356,0.1425,0.6387,1.9734,2.3493,1.6517,1.7678,3.2462,2.8284,2.0857,0.4919,0.9314,2.0792,2.5434,0.372,6.2743,9.5954,8.1832,8.9375,3.2398,3.7699,3.8027,0.8966,1.9132,0.5628,0.6471,1.0638,1.4917,1.012,1.0011,3.3957,3.7229,1.0133,2.0258,0.7673,1.0152,0.5617,0.3139,0.1308,0.281,1.0588,0.6239,1.2997
sub-kLat010,task-sline,run-1,0.75,NA,0.459,0.72,1.7424,1.5049,0.9972,0.6917,0.7744,0.8975,1.7682,2.6059,1.8426,2.2485,1.6311,0.6866,0.6843,3.8925,5.9716,2.7966,5.6906,6.6321,9.3303,14.7428,6.3232,1.2793,0.5274,0.6354,2.4328,2.2534,1.0098,0.9682,0.6204,0.7384,3.6962,4.6804,4.6794,5.7148,2.5129,1.1179,1.0856,1.8419,2.3569,4.8179,6.9836,1.4703,3.6355,2.4138,2.4621,2.4625,1.6462,3.7234,4.3746,2.6224,3.6574,5.0811,0.6837,1.1394,5.1363,3.9152,1.3771
